Restaurant Name,City,Comment,Cuisine Type,Price,Rating,URL,Visited
Cobbler & Crew,Pune,,"Bar, Fusion",,⭐⭐⭐⭐⭐,,Yes
Donna Cucina,Pune,,,,,,No
One O Eight Cafe,Pune,,Cafe,,⭐⭐⭐⭐,,Yes
Bai Mu Dan,Pune,,Cafe,,⭐⭐⭐⭐,,Yes
Zen Cafe,Pune,,,,,,No
Grandmama’s Cafe,Pune,,,,,,No
Huber & Holly,Pune,,Dessert,,⭐⭐⭐,,Yes
"The Local Cafe, GK",Delhi,Momos,,,,https://www.instagram.com/reel/DCbQYCkP0yo/,No
Basque by Breve,Mumbai,San Sebastian Cheesecake,Bakery,,,https://www.instagram.com/p/DFLFZ4CyPww/?img_index=3,No
Late Night Spots in Bandra,Mumbai,Late night till 3 AM,,,,https://www.instagram.com/p/DFZ_gLqvKQ1/,No
"Ocho, Bandra",Mumbai,Speakeasy Bars,Bar,,,https://www.instagram.com/p/DFpubu4yW0R/,No
Bandra Born,Mumbai,,"Bar, Fusion",,⭐⭐⭐⭐⭐,,Yes
"PaPaYa, Bandra",Mumbai,"Not the most posh vibe, good food, ok ok drinks","Chinese, Japanese",,,,Yes
Americano,Mumbai,Amazing Bar,,,,,No
Masque,Mumbai,"Tasting Menu, Fine Dine",,,,,No
Papas,Mumbai,"Tasting Menu, Fine Dine, 12 ppl at a time, from the makers of Bombay Canteen",,,,,No
"Subko Coffee Roasters, Bandra",Mumbai,Amazing Coffee,,,,,Yes
"Veronicas, Bandra",Mumbai,,,,,,No
Tanjore Tiffin Room,Mumbai,,,,,,No
Gigi,Mumbai,,,,,,No
Indian Accent,Mumbai,,,,,,No
"Megumi, Bandra",Mumbai,,,,,,No
"O, Pedro",Mumbai,,,,,,Yes
Permit Rooms,Mumbai,"1. https://www.instagram.com/share/reel/BAOIgvam0B
2. https://www.instagram.com/share/reel/BALwAZdNoy",,,,https://www.instagram.com/reel/DDcS5VFinMb/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
Boojee Cafe,Mumbai,,,,,,Yes
Prithvi Cafe,Mumbai,,,,,,No
Must visit Cafes in Mumbai,Mumbai,,,,,https://www.instagram.com/p/DDpCBzxPsEy/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
"Izumi, Bandra",Mumbai,,,,,https://www.instagram.com/reel/DDPJg5vMvN_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
Omo,Delhi,Chef’s tasting menu,,,,https://www.instagram.com/reel/C_smXX8oO12/,No
"KMC, Fort",Mumbai,"Has a unique way of preparing cocktails, you choose the perfumes (edible) you like and they add it to the drink of your choice, limited food options","Bar, Fusion, Italian, Mexican",$$$$,⭐⭐⭐⭐,,Yes
Toast & Tonic,Mumbai,,Bar,,,,Yes
Gateway Taproom,Mumbai,,Bar,$$$,⭐⭐⭐⭐,,Yes
Elementaria Bakery,Mumbai,,Bakery,$$,⭐⭐⭐,,Yes
"Yautcha, Bandra",Mumbai,"Amazing cocktails and desserts. Tried a Toki Gin high ball here. Average food (dumplings); Prawn cheung fun, and the shui mai, raspberry delice, crystal and ckn dumplings","Bar, Chinese, Dessert, Japanese",$$$,⭐⭐⭐⭐,,Yes
Bishu Canteen,Jamshedpur,,,,⭐⭐⭐,,Yes
Late Check-out,Mumbai,,Bar,,,https://www.instagram.com/share/p/BAR-dW18bg,No
Neuma,Mumbai,,European,,⭐⭐⭐⭐,,No
Que sera sera,Mumbai,"Great ambience, small quaint place, v good date spot, great food, open shell tacos and agle olio and cranberry mojito were good","Italian, Mexican",$$$,⭐⭐⭐⭐,,Yes
"Corkage & Co, Powai",Mumbai,,Bar,,,,Yes
"Osteria, Andheri",Mumbai,"Great options for Craft beer, good snacks, outdoor vibes and aesthetic","American, Bar, Italian",$$$,⭐⭐⭐⭐,,Yes
Nara,Mumbai,"Amazing thai food - ordered a plate noodles - very well tossed and overall great food - not sure abt the ambience tho; papaya salad, and the grilled john dory in kaffir lime is great",,,,,Yes
Slink & Bardot,Mumbai,,Bar,,,,No
"Sixteen 33, Bandra",Mumbai,,Bar,,,,No
Ditas,Mumbai,,,,,,No
QEY Sip & Vault,Mumbai,,,,,,No
The tasting room by diva,Mumbai,,,,,,No
"Plural, Fort",Mumbai,,,,,,No
Folk,Mumbai,,Goan,,,,No
Mezcalita,Mumbai,,"Mexican, Spanish",,,,No
The clearing house,Mumbai,,,,,,No
Canto Bar and Kitchen,Mumbai,Some negative comments on zomato,,,,,No
Cray Craft,Mumbai,Not so great food. Good cocktails. The ambience is stale and not the best. Affordable pricing.,"Asian, Chinese, Indian",,,,Yes
Sardar Pav Bhaji,Mumbai,"Amazing Pav Bhaji, place is in tardeo worli. Better than chembur gurukripa.",Street Food,$,⭐⭐⭐⭐,,Yes
"Pomodoro, Bandra",Mumbai,"Amazing pasta, especially the pesto, and gnocci, but no cocktails or wine selection, truffle chittara - plain not too complex flavours, insanely good",Italian,$$$,,https://www.instagram.com/share/reel/BAHgMKGG1u,No
"Blondie, Bandra",Mumbai,"Shilpa Shetty’s outlet, great truffle mushroom crossiant","American, French",,,https://www.instagram.com/share/reel/_9PkDNMkw,No
Vanilla Miel,Mumbai,"Amazing sienne pastry, hazelnut dark chocolate pastry - decadent, croissant and coffee is also good",Cafe,,,https://www.instagram.com/share/reel/BAKw7Jd1d1,Yes
"Pause, Bandra",Mumbai,,Cafe,,,https://www.instagram.com/share/reel/_lID7Vahk,No
"Gustoso, Bandra",Mumbai,"Great chocolate mousse, Best tiramisu, and the insta reel is for the top 5 tiramisu places in Mumbai, toast pasta bar, kajal bakes, saz bandra ","Bakery, Italian",,,https://www.instagram.com/share/reel/_kKzuCklw,Yes
"Kepchaki Momos, Bandra",Mumbai,,"Cafe, Chinese",,,https://www.instagram.com/reel/DGk5ugKMrRD/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
"Across, Fort",Mumbai,,Indian,,,https://www.instagram.com/reel/DIYOcmhstqZ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
Tanjore Tiffin Room,Mumbai,,South Indian,,,,No
"Ferry Wharf, Bandra",,,South Indian,,,https://www.instagram.com/reel/DIYHVqHTh-B/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
"BaoJi Asian Restaurant, Andheri",Mumbai,,Asian,,,https://www.instagram.com/reel/DI_Eu0LRVCU/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
"Call me ten, Delhi",Delhi,Omakase Cocktails customized,Bar,,,https://www.instagram.com/reel/DIByG4sS7UT/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,No
"Mizu, Khar",Mumbai,,Asian,,,https://www.instagram.com/reel/DE6k4KJMyTi/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Yes
PCO Bar,Mumbai,,Bar,,,,No
Taó 66,Mumbai,,,,,,No
"Kuuraku, Bandra",Mumbai,"Japanese sit down restaurant, v authentic ",Japanese,,,https://www.instagram.com/share/reel/BAHIWMAOd2,No
Cocktail Room by Milagro,Mumbai,"Speakeasy bar, v classy, upmarket",Bar,,,https://www.instagram.com/share/reel/BAHESubGJd,No
